k,silhouette,silhouette_null_mean,davies_bouldin,cluster_counts
2,0.603856653972684,-0.0026827850633080975,1.231276167540141,"[557, 56]"
3,0.5791653914092045,-0.028341170779073298,0.8195101197035637,"[548, 32, 33]"
4,0.5437776490676477,-0.09123788748324957,0.8333212147895438,"[33, 512, 32, 36]"
5,0.5740829480469397,-0.08144645880931611,0.8151820878737055,"[26, 32, 36, 495, 24]"
6,0.583298597531004,-0.10969209532046684,0.8200068443871803,"[495, 14, 26, 18, 24, 36]"
7,0.5773553058944275,-0.1993334429661485,0.7572356200072553,"[483, 18, 32, 36, 14, 18, 12]"
8,0.23147801106281732,-0.18798035301045393,1.1166822749962604,"[210, 26, 14, 36, 18, 12, 24, 273]"
9,0.24201118430869878,-0.20932093180422787,1.0225145509578968,"[12, 17, 36, 14, 26, 209, 7, 18, 274]"
10,0.24661296902225696,-0.2558504013253789,0.8940688765637725,"[12, 7, 26, 18, 212, 271, 7, 17, 36, 7]"
